"Samples","Patients","Groups","n_cells","CD8_CD4_ratio","Tcell_Myeloid_ratio","Immune_Tumor_ratio","Lymphoid_Myeloid_ratio","prop_immune","prop_stromal","prop_CD4_T","prop_CD8_T","prop_NK","prop_Monocyte","prop_Macrophage","prop_DC","prop_Fibroblast","prop_Other_stromal_cells","prop_Endothelial_cells","prop_Epithelial_cells","prop_Proliferative_cells","prop_B","prop_Mesothelial_cells","prop_HSC","Tstate_simple_cytotoxic","Tstate_simple_effector_memory","Tstate_simple_exhausted","Tstate_simple_naive","Tstate_simple_regulatory","Mstate_simple_TAM_immunosuppressive","Mstate_simple_dendritic_cell","Mstate_simple_macrophage_other","Mstate_simple_monocyte"
"HGSOC5_AS","HGSOC5","Ascites",3547,1.40596330275229,0.605780346820809,11.615671641791,0.8,0.877361150267832,0,0.122638849732168,0.172540174795602,0.0673808852551452,0.00140964195094446,0.428531153087116,0.0532844657457006,0.000281928390188892,0,0,0.0752748801804342,0.00986749365661122,0.0273470538483225,0.0414434733577671,0,0.104106972301815,0.764087870105062,0.00859598853868195,0.0592168099331423,0.063992359121299,0.101792943898207,0.109311740890688,0.786003470213997,0.00289184499710815
"HGSOC5_PT","HGSOC5","Primary Tumor",3396,5.66666666666667,0.287878787878788,0.0260843190779497,0.318181818181818,0.0250294464075383,0.00176678445229682,0.000588928150765607,0.00471142520612485,0.000588928150765607,0,0.016489988221437,0.000294464075382803,0.000294464075382803,0,0.00176678445229682,0.97055359246172,0.00471142520612485,0,0,0,0,0.666666666666667,0.166666666666667,0.0555555555555556,0.111111111111111,0.892307692307692,0.0153846153846154,0.0923076923076923,0
"HGSOC6_AS","HGSOC6","Ascites",3796,0.793154761904762,3.1003861003861,310,3.78893178893179,0.979715489989463,0,0.353793466807165,0.280558482613277,0.105900948366702,0.00131717597471022,0.161222339304531,0.0366174920969441,0,0,0,0.00289778714436249,0.0187038988408851,0.0350368809272919,0.00263435194942044,0.00131717597471022,0.0714285714285714,0.772009966777409,0.0485880398671096,0.0743355481727575,0.0336378737541528,0.452319587628866,0.179123711340206,0.362113402061856,0.00644329896907216
"HGSOC6_BC","HGSOC6","PBMC",3514,0.445544554455446,2.00528541226216,433.375,2.66596194503171,0.986340352874217,0,0.373363688104724,0.166192373363688,0.137450199203187,0.257825839499146,0.00113830392714855,0.0099601593625498,0,0,0,0.00199203187250996,0.0099601593625498,0.0404097894137735,0,0.00170745589072282,0.183016877637131,0.390822784810127,0,0.387130801687764,0.0390295358649789,0.00105820105820106,0.037037037037037,0.00317460317460317,0.958730158730159
"HGSOC6_LN","HGSOC6","Lymph Node",3875,0.257586450247001,21.9876543209877,66.9433962264151,42.8148148148148,0.915354838709677,0.0340645161290323,0.36541935483871,0.0939354838709677,0.0185806451612903,0,0.00567741935483871,0.0126451612903226,0.000258064516129032,0.0136774193548387,0.0340645161290323,0.0134193548387097,0.024,0.416774193548387,0,0.00154838709677419,0.00617977528089888,0.624719101123596,0.0146067415730337,0.23876404494382,0.115730337078652,0.2875,0.6125,0.1,0
"HGSOC6_MT","HGSOC6","Metastatic Tumor",5498,3.59477124183007,1.44979367262724,15.794701986755,2.28129298486933,0.867406329574391,0.00218261185885777,0.0833030192797381,0.299927246271371,0.0403783193888687,0,0.244088759548927,0.0176427791924336,0.00545652964714442,0.00181884321571481,0.00218261185885777,0.0547471807930156,0.0287377228082939,0.179519825391051,0.042015278283012,0.000181884321571481,0.00664451827242525,0.168960607498813,0.714760322733745,0.011390602752729,0.0982439487422876,0.871988988300069,0.0667584308327598,0.0612525808671714,0
"HGSOC6_PT","HGSOC6","Primary Tumor",3493,2.63013698630137,0.380952380952381,0.558543417366947,0.44011544011544,0.285141711995419,0.0286286859433152,0.0206126538791869,0.054680790151732,0.0071571714858288,0,0.170054394503292,0.00200400801603206,0.120240480961924,0.0360721442885772,0.0286286859433152,0.510735757228743,0.0429430289149728,0.00458058975093043,0.00229029487546522,0,0.00760456273764259,0.422053231939163,0.304182509505703,0,0.26615969581749,0.945086705202312,0.0101156069364162,0.0447976878612717,0
"HGSOC7_PT","HGSOC7","Primary Tumor",2968,0.703125,0.0916808149405773,1.38144329896907,0.138370118845501,0.451145552560647,0.00471698113207547,0.0212264150943396,0.0148247978436658,0.0154986522911051,0,0.318059299191375,0.0154986522911051,0.154986522911051,0.0208894878706199,0.00471698113207547,0.326482479784367,0.100404312668464,0.00303234501347709,0.0043800539083558,0,0.0467289719626168,0.336448598130841,0.149532710280374,0.00934579439252336,0.457943925233645,0.889549702633815,0.0390824129141886,0.0713678844519966,0
"HGSOC8_AS","HGSOC8","Ascites",3583,3.77922077922078,0.999094202898551,6.47021276595745,1.7554347826087,0.848451018699414,0,0.0641920178621267,0.243371476416411,0.226625732626291,0.00530281886687134,0.285794027351382,0.0145129779514373,0.000558191459670667,0,0,0.130895897292771,0.00697739324588334,0.00641920178621267,0.015071169411108,0.000279095729835334,0.266787658802178,0.681488203266788,0.00453720508166969,0.0181488203266788,0.029038112522686,0.397098821396192,0.0471441523118767,0.538531278331822,0.0172257479601088
"HGSOC8_PT","HGSOC8","Primary Tumor",3048,0.791773778920309,5.61290322580645,1.24794144556267,10.008064516129,0.447178477690289,0.010498687664042,0.127296587926509,0.100721784776903,0.133202099737533,0.0026246719160105,0.0259186351706037,0.00721784776902887,0.101049868766404,0.0380577427821522,0.010498687664042,0.358267716535433,0.041010498687664,0.0456036745406824,0.00820209973753281,0.000328083989501312,0.0906474820143885,0.43021582733813,0.0920863309352518,0.0143884892086331,0.372661870503597,0.414634146341463,0.178861788617886,0.341463414634146,0.0650406504065041
