"Samples","Patients","Groups","prop_CD8_T","prop_CD4_T","prop_Epithelial_cells","prop_Fibroblast","prop_NK","prop_B","prop_Endothelial_cells","CD8_CD4_ratio","Immune_Tumor_ratio","Tcell_Myeloid_ratio","Tstate_simple_exhausted","Tstate_simple_cytotoxic","Tstate_simple_regulatory","Mstate_simple_TAM_immunosuppressive","Mstate_simple_dendritic_cell"
"HGSOC4_LN","HGSOC4","Lymph Node",0.0852767962308598,0.642873969375736,0.00188457008244994,0.000235571260306243,0.0202591283863369,0.230624263839812,0.00306242638398115,0.132967032967033,467.333333333333,61.84,0.000970559689420899,0.00129407958589453,0.118731802005823,0.0204081632653061,0.959183673469388
"HGSOC4_MT","HGSOC4","Metastatic Tumor",0.150430292598967,0.0540447504302926,0.188640275387263,0.220998278829604,0.0351118760757315,0.0072289156626506,0.0185886402753873,2.77215189873418,2.79052823315118,0.730061349693252,0.0387205387205387,0.00841750841750842,0.257575757575758,0.84029484029484,0.109336609336609
"HGSOC4_PT","HGSOC4","Primary Tumor",0.197775263951735,0.0978506787330317,0.536010558069382,0.0156485671191554,0.0220588235294118,0.00697586726998492,0.0290346907993967,2.01923076923077,0.704992967651195,5.54416961130742,0.0669642857142857,0.00573979591836735,0.267219387755102,0.819148936170213,0.141843971631206
"HGSOC5_AS","HGSOC5","Ascites",0.172540174795602,0.122638849732168,0.0752748801804342,0.000281928390188892,0.0673808852551452,0.0273470538483225,0,1.40596330275229,11.615671641791,0.605780346820809,0.00859598853868195,0.104106972301815,0.063992359121299,0.101792943898207,0.109311740890688
"HGSOC5_PT","HGSOC5","Primary Tumor",0.00471142520612485,0.000588928150765607,0.97055359246172,0.000294464075382803,0.000588928150765607,0,0.00176678445229682,5.66666666666667,0.0260843190779497,0.287878787878788,0.166666666666667,0,0.111111111111111,0.892307692307692,0.0153846153846154
"HGSOC6_AS","HGSOC6","Ascites",0.280558482613277,0.353793466807165,0.00289778714436249,0,0.105900948366702,0.0350368809272919,0,0.793154761904762,310,3.1003861003861,0.0485880398671096,0.0714285714285714,0.0336378737541528,0.452319587628866,0.179123711340206
"HGSOC6_BC","HGSOC6","PBMC",0.166192373363688,0.373363688104724,0.00199203187250996,0,0.137450199203187,0.0404097894137735,0,0.445544554455446,433.375,2.00528541226216,0,0.183016877637131,0.0390295358649789,0.00105820105820106,0.037037037037037
"HGSOC6_LN","HGSOC6","Lymph Node",0.0939354838709677,0.36541935483871,0.0134193548387097,0.000258064516129032,0.0185806451612903,0.416774193548387,0.0340645161290323,0.257586450247001,66.9433962264151,21.9876543209877,0.0146067415730337,0.00617977528089888,0.115730337078652,0.2875,0.6125
"HGSOC6_MT","HGSOC6","Metastatic Tumor",0.299927246271371,0.0833030192797381,0.0547471807930156,0.00545652964714442,0.0403783193888687,0.179519825391051,0.00218261185885777,3.59477124183007,15.794701986755,1.44979367262724,0.714760322733745,0.00664451827242525,0.0982439487422876,0.871988988300069,0.0667584308327598
"HGSOC6_PT","HGSOC6","Primary Tumor",0.054680790151732,0.0206126538791869,0.510735757228743,0.120240480961924,0.0071571714858288,0.00458058975093043,0.0286286859433152,2.63013698630137,0.558543417366947,0.380952380952381,0.304182509505703,0.00760456273764259,0.26615969581749,0.945086705202312,0.0101156069364162
"HGSOC7_PT","HGSOC7","Primary Tumor",0.0148247978436658,0.0212264150943396,0.326482479784367,0.154986522911051,0.0154986522911051,0.00303234501347709,0.00471698113207547,0.703125,1.38144329896907,0.0916808149405773,0.149532710280374,0.0467289719626168,0.457943925233645,0.889549702633815,0.0390824129141886
"HGSOC8_AS","HGSOC8","Ascites",0.243371476416411,0.0641920178621267,0.130895897292771,0.000558191459670667,0.226625732626291,0.00641920178621267,0,3.77922077922078,6.47021276595745,0.999094202898551,0.00453720508166969,0.266787658802178,0.029038112522686,0.397098821396192,0.0471441523118767
"HGSOC8_PT","HGSOC8","Primary Tumor",0.100721784776903,0.127296587926509,0.358267716535433,0.101049868766404,0.133202099737533,0.0456036745406824,0.010498687664042,0.791773778920309,1.24794144556267,5.61290322580645,0.0920863309352518,0.0906474820143885,0.372661870503597,0.414634146341463,0.178861788617886
"HGSOC9_AS","HGSOC9","Ascites",0.0717784877529287,0.076038338658147,0.00149094781682641,0,0.0383386581469649,0.0108626198083067,0,0.94413407821229,556.5,0.197051318400907,0.0100864553314121,0.103746397694524,0.135446685878963,0.666477595008508,0.0436755530346001
"HGSOC9_PT","HGSOC9","Primary Tumor",0.103870967741935,0.0274193548387097,0.396774193548387,0.00032258064516129,0.100967741935484,0.00387096774193548,0.000645161290322581,3.75581395348837,1.47441104792851,0.376731301939058,0.614250614250614,0.0147420147420147,0.162162162162162,0.922365988909427,0.00739371534195933
"OCCC1_AS","OCCC1","Ascites",0.236708522575474,0.175260486240983,0.133582687683676,0.00213732300293882,0.235907026449372,0.00881645738712263,0,1.35007610350076,6.26946107784431,2.25915080527086,0.0012970168612192,0.345654993514916,0.0149156939040208,0.354838709677419,0.129032258064516
"UOC1_PT","UOC1","Primary Tumor",0.495582551076753,0.333241303147432,0.00303699613473219,0.0041413583655439,0.0303699613473219,0.0485919381557151,0.00966316951960243,1.48675496688742,282.416666666667,29.7326732673267,0.269153897401732,0.00932711525649567,0.20819453697535,0.2,0.51
